"","Codigo_IBGE","Sigla_Estado","cidade","longitude","latitude","Data","Total_Exames","Total_positivos","Indice_Positividade"
"1048","4311106","RS","Jaguari",-54.703,-29.4936,2020-03-11,1,0,0
"1049","4311809","RS","Marau",-52.1986,-28.4498,2020-03-11,196,94,47.9591836734694
"1050","4312401","RS","Montenegro",-51.4679,-29.6824,2020-03-11,10,2,20
"1051","4312658","RS","Não-Me-Toque",-52.8182,-28.4548,2020-03-11,1,0,0
"1052","4313300","RS","Nova Prata",-51.6113,-28.7799,2020-03-11,338,41,12.1301775147929
"1053","4313409","RS","Novo Hamburgo",-51.1328,-29.6875,2020-03-11,2,0,0
"1054","4313607","RS","Paim Filho",-51.763,-27.7075,2020-03-11,1,0,0
"1055","4313904","RS","Panambi",-53.5023,-28.2833,2020-03-11,3,1,33.3333333333333
"1056","4314100","RS","Passo Fundo",-52.4091,-28.2576,2020-03-11,431,104,24.1299303944316
"1057","4314407","RS","Pelotas",-52.3371,-31.7649,2020-03-11,333,22,6.60660660660661
"1058","4314902","RS","Porto Alegre",-51.2065,-30.0318,2020-03-11,643,59,9.17573872472784
"1059","4315602","RS","Rio Grande",-52.1071,-32.0349,2020-03-11,13,2,15.3846153846154
"1060","4315701","RS","Rio Pardo",-52.3711,-29.988,2020-03-11,4,0,0
"1061","4316501","RS","Salvador do Sul",-51.5077,-29.4386,2020-03-11,2,1,50
"1062","4316600","RS","Sananduva",-51.8079,-27.947,2020-03-11,16,6,37.5
"1063","4316709","RS","Santa Bárbara do Sul",-53.251,-28.3653,2020-03-11,2,0,0
"1064","4316808","RS","Santa Cruz do Sul",-52.4343,-29.722,2020-03-11,37,7,18.9189189189189
"1065","4316907","RS","Santa Maria",-53.8149,-29.6868,2020-03-11,696,43,6.17816091954023
"1066","4317202","RS","Santa Rosa",-54.4796,-27.8702,2020-03-11,30,5,16.6666666666667
"1067","4317301","RS","Santa Vitória do Palmar",-53.3717,-33.525,2020-03-11,6,0,0
"1068","4317400","RS","Santiago",-54.8666,-29.1897,2020-03-11,46,8,17.3913043478261
"1069","4317509","RS","Santo Ângelo",-54.2668,-28.3001,2020-03-11,8,0,0
"1070","4318309","RS","São Gabriel",-54.3217,-30.3337,2020-03-11,3,1,33.3333333333333
"1071","4318424","RS","São João da Urtiga",-51.8257,-27.8195,2020-03-11,1,0,0
"1072","4318804","RS","São Lourenço do Sul",-51.9715,-31.3564,2020-03-11,37,1,2.7027027027027
"1073","4319000","RS","São Marcos",-51.0696,-28.9677,2020-03-11,11,2,18.1818181818182
"1074","4321006","RS","Tapera",-52.8613,-28.6277,2020-03-11,4,1,25
"1075","4321303","RS","Taquari",-51.8653,-29.7943,2020-03-11,1,0,0
